               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092025,             0.10141,             0.03317,             0.75395,             0.40417,             0.41519,             0.11192,            0.062125,            0.083633,             0.01569,            0.070652,           0.0032609,           0.0032609
                   1,            0.067688,            0.074449,            0.019301,             0.76511,             0.34583,             0.43984,              0.2147,            0.051282,            0.056633,            0.013545,            0.040522,           0.0064636,           0.0064636
                   2,            0.066655,             0.06954,            0.018272,             0.80125,             0.41051,             0.65863,             0.30486,            0.056699,            0.051399,            0.012261,            0.010259,           0.0095344,           0.0095344
                   3,            0.054643,             0.06556,            0.016872,             0.62281,             0.72894,             0.82535,             0.50156,            0.032519,            0.046272,            0.010123,            0.009406,            0.009406,            0.009406
                   4,            0.047956,             0.05967,            0.014136,             0.77263,                 0.9,             0.94207,             0.55362,            0.035199,            0.044823,           0.0075302,            0.009406,            0.009406,            0.009406
                   5,            0.038583,            0.060634,            0.011211,             0.98549,                   1,               0.995,             0.66531,             0.03271,            0.053482,           0.0045836,            0.009208,            0.009208,            0.009208
                   6,             0.03894,            0.055235,           0.0086016,             0.97886,               0.975,             0.99083,             0.61647,            0.024218,            0.038918,           0.0029972,             0.00901,             0.00901,             0.00901
                   7,             0.03542,            0.053648,           0.0071141,             0.89328,              0.9713,               0.982,             0.70073,            0.028897,             0.04393,           0.0026084,            0.008812,            0.008812,            0.008812
                   8,            0.033397,            0.051289,           0.0063296,             0.99671,                   1,               0.995,             0.75447,            0.021709,            0.036804,           0.0024309,            0.008614,            0.008614,            0.008614
                   9,            0.031389,            0.049967,           0.0053663,              0.9979,                   1,               0.995,             0.77016,            0.022189,            0.037483,           0.0020578,            0.008416,            0.008416,            0.008416
                  10,            0.028306,            0.050572,           0.0046816,             0.96944,                   1,               0.995,             0.75175,            0.022686,            0.037827,           0.0016608,            0.008218,            0.008218,            0.008218
                  11,            0.027649,            0.049714,           0.0042169,             0.99798,                   1,               0.995,             0.84009,            0.018707,             0.03516,           0.0017784,             0.00802,             0.00802,             0.00802
                  12,            0.028299,            0.048614,           0.0037672,             0.99732,                   1,               0.995,             0.75531,            0.018305,            0.034016,           0.0015151,            0.007822,            0.007822,            0.007822
                  13,            0.028065,            0.048323,           0.0036396,             0.99792,                   1,               0.995,             0.78734,            0.021112,            0.035637,             0.00157,            0.007624,            0.007624,            0.007624
                  14,            0.025846,            0.047314,           0.0031697,             0.99797,                   1,               0.995,             0.82656,            0.018773,             0.03553,           0.0013487,            0.007426,            0.007426,            0.007426
                  15,            0.025952,             0.04659,           0.0029021,             0.99663,                   1,               0.995,             0.82364,            0.016626,            0.032318,           0.0013634,            0.007228,            0.007228,            0.007228
                  16,            0.024295,            0.045899,            0.002709,             0.99738,                   1,               0.995,               0.769,            0.018554,               0.035,           0.0013658,             0.00703,             0.00703,             0.00703
                  17,            0.023882,            0.045678,           0.0024087,             0.99772,                   1,               0.995,             0.85693,             0.01508,            0.031525,            0.001086,            0.006832,            0.006832,            0.006832
                  18,            0.023476,            0.046312,           0.0022856,             0.99742,                   1,               0.995,             0.83616,            0.016749,            0.033333,           0.0011147,            0.006634,            0.006634,            0.006634
                  19,            0.023399,            0.045044,           0.0021248,             0.99619,                   1,               0.995,             0.86472,             0.01409,            0.030346,           0.0010512,            0.006436,            0.006436,            0.006436
                  20,            0.022037,            0.044031,           0.0020558,             0.99746,                   1,               0.995,             0.87592,            0.014825,              0.0326,           0.0010454,            0.006238,            0.006238,            0.006238
                  21,            0.022149,            0.043873,           0.0019554,             0.99779,                   1,               0.995,             0.81433,            0.017193,             0.03352,          0.00094821,             0.00604,             0.00604,             0.00604
                  22,            0.021911,            0.043127,           0.0019268,             0.99782,                   1,               0.995,             0.85114,             0.01572,            0.031891,           0.0010579,            0.005842,            0.005842,            0.005842
                  23,            0.021383,            0.042478,           0.0020488,             0.99701,                   1,               0.995,             0.87695,            0.013464,            0.030056,             0.00106,            0.005644,            0.005644,            0.005644
                  24,            0.020466,            0.043271,           0.0017077,             0.99759,                   1,               0.995,             0.85876,            0.014845,            0.030926,          0.00083367,            0.005446,            0.005446,            0.005446
                  25,            0.021292,            0.043638,           0.0017669,              0.9972,                   1,               0.995,              0.8455,              0.0145,            0.030807,          0.00092264,            0.005248,            0.005248,            0.005248
                  26,            0.019979,            0.042316,           0.0017322,             0.99701,                   1,               0.995,             0.84605,            0.014544,            0.030552,          0.00078342,             0.00505,             0.00505,             0.00505
                  27,            0.019075,            0.039534,           0.0016181,             0.99744,                   1,               0.995,              0.8766,            0.012627,            0.029476,             0.00079,            0.004852,            0.004852,            0.004852
                  28,            0.018659,            0.040197,           0.0015443,             0.99784,                   1,               0.995,              0.8626,            0.013667,            0.030281,          0.00072774,            0.004654,            0.004654,            0.004654
                  29,            0.018545,            0.041434,           0.0015252,             0.99741,                   1,               0.995,             0.88222,            0.011932,            0.028835,          0.00070231,            0.004456,            0.004456,            0.004456
                  30,            0.018464,            0.040466,           0.0014825,             0.99799,                   1,               0.995,             0.87591,            0.012182,            0.028362,          0.00063436,            0.004258,            0.004258,            0.004258
                  31,            0.018319,            0.039797,           0.0013805,              0.9973,                   1,               0.995,             0.85927,            0.012219,            0.029408,          0.00062546,             0.00406,             0.00406,             0.00406
                  32,             0.01772,            0.039939,           0.0013531,             0.99794,                   1,               0.995,             0.85252,            0.013949,            0.029972,          0.00058905,            0.003862,            0.003862,            0.003862
                  33,            0.017886,            0.039824,           0.0013067,             0.99636,                   1,               0.995,             0.88666,            0.011244,            0.027927,          0.00056398,            0.003664,            0.003664,            0.003664
                  34,             0.01706,            0.038909,           0.0012268,             0.99746,                   1,               0.995,             0.89793,            0.012226,            0.028198,          0.00052936,            0.003466,            0.003466,            0.003466
                  35,            0.016855,             0.03886,           0.0011463,             0.99785,                   1,               0.995,             0.88359,            0.011191,            0.027924,          0.00055076,            0.003268,            0.003268,            0.003268
                  36,             0.01648,             0.03753,           0.0011746,             0.99735,                   1,               0.995,             0.87964,            0.012267,            0.028027,          0.00049852,             0.00307,             0.00307,             0.00307
                  37,            0.016291,            0.037748,           0.0011984,             0.99748,                   1,               0.995,             0.89262,            0.010962,            0.027195,          0.00047058,            0.002872,            0.002872,            0.002872
                  38,            0.015611,            0.036755,           0.0010188,             0.99752,                   1,               0.995,             0.88914,            0.012645,            0.029003,          0.00042863,            0.002674,            0.002674,            0.002674
                  39,            0.016133,            0.038898,           0.0010554,             0.99725,                   1,               0.995,             0.88486,            0.010718,            0.027573,          0.00042651,            0.002476,            0.002476,            0.002476
                  40,            0.015377,            0.038273,           0.0011543,             0.99766,                   1,               0.995,              0.8922,            0.011385,            0.027607,          0.00039241,            0.002278,            0.002278,            0.002278
                  41,            0.014965,              0.0366,          0.00093322,             0.99776,                   1,               0.995,             0.89151,            0.011351,            0.027992,           0.0003764,             0.00208,             0.00208,             0.00208
                  42,            0.015461,            0.037952,           0.0010269,             0.99774,                   1,               0.995,              0.8799,            0.010763,            0.027008,          0.00034461,            0.001882,            0.001882,            0.001882
                  43,            0.014821,            0.036089,          0.00095311,             0.99755,                   1,               0.995,             0.89352,            0.010564,            0.026268,          0.00031053,            0.001684,            0.001684,            0.001684
                  44,            0.014528,            0.035584,          0.00090339,              0.9974,                   1,               0.995,             0.88093,            0.010538,            0.026409,          0.00028896,            0.001486,            0.001486,            0.001486
                  45,            0.014435,            0.035623,          0.00092443,             0.99786,                   1,               0.995,             0.89219,            0.010278,            0.026752,          0.00026658,            0.001288,            0.001288,            0.001288
                  46,            0.014138,            0.036928,          0.00076773,             0.99744,                   1,               0.995,             0.89042,            0.010446,             0.02636,          0.00023896,             0.00109,             0.00109,             0.00109
                  47,            0.014056,            0.035391,          0.00080304,             0.99767,                   1,               0.995,              0.8891,            0.010527,            0.026409,          0.00021454,            0.000892,            0.000892,            0.000892
                  48,            0.013983,            0.035326,            0.000818,             0.99776,                   1,               0.995,             0.88761,            0.010331,            0.026791,          0.00019719,            0.000694,            0.000694,            0.000694
                  49,             0.01403,            0.035506,          0.00075395,             0.99774,                   1,               0.995,             0.89145,            0.010329,            0.026211,          0.00019005,            0.000496,            0.000496,            0.000496
