               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096953,            0.098033,             0.02488,             0.75223,             0.39449,             0.35708,            0.099161,            0.064481,             0.10287,            0.014798,            0.070789,           0.0032456,           0.0032456
                   1,            0.069814,            0.073892,             0.01763,             0.40036,             0.64254,             0.59137,              0.2909,            0.062133,            0.057114,            0.012111,            0.040659,           0.0064487,           0.0064487
                   2,            0.069742,            0.067138,             0.01668,             0.45774,             0.68974,             0.74408,              0.3317,            0.051902,              0.0466,            0.011277,            0.010397,           0.0095198,           0.0095198
                   3,            0.062234,            0.063108,            0.014972,             0.99126,              0.4683,             0.75191,             0.36367,             0.05759,            0.059486,           0.0095501,            0.009406,            0.009406,            0.009406
                   4,            0.049337,            0.061591,            0.012788,             0.57714,             0.87887,             0.93449,             0.55054,            0.042257,            0.058327,           0.0073923,            0.009406,            0.009406,            0.009406
                   5,            0.044748,            0.057641,            0.010026,             0.82802,             0.89673,             0.94014,             0.51058,            0.039441,            0.049744,           0.0050903,            0.009208,            0.009208,            0.009208
                   6,             0.04076,            0.058884,           0.0076825,             0.82521,             0.96964,             0.90376,             0.68248,            0.028568,             0.04467,           0.0029256,             0.00901,             0.00901,             0.00901
                   7,            0.037813,            0.055612,           0.0054858,             0.94699,                   1,             0.99262,             0.66101,            0.027524,            0.041107,           0.0022356,            0.008812,            0.008812,            0.008812
                   8,            0.034187,            0.052861,           0.0047453,             0.99795,                   1,               0.995,             0.82398,            0.020253,            0.038635,           0.0021515,            0.008614,            0.008614,            0.008614
                   9,            0.033245,            0.050353,           0.0041736,             0.97583,             0.99661,               0.995,             0.74342,            0.020127,            0.035244,           0.0016702,            0.008416,            0.008416,            0.008416
                  10,            0.032121,            0.048401,           0.0036808,             0.99591,                   1,               0.995,             0.84034,            0.018075,            0.034576,           0.0016593,            0.008218,            0.008218,            0.008218
                  11,            0.029292,            0.049635,           0.0033978,             0.97745,                   1,               0.995,             0.74354,            0.024631,            0.037823,           0.0015368,             0.00802,             0.00802,             0.00802
                  12,             0.02947,            0.048575,           0.0028773,             0.99429,                   1,               0.995,             0.78746,             0.02235,            0.038326,           0.0013974,            0.007822,            0.007822,            0.007822
                  13,            0.027277,               0.047,           0.0026902,             0.99603,                   1,               0.995,             0.79804,            0.017308,             0.03553,           0.0013421,            0.007624,            0.007624,            0.007624
                  14,            0.026498,            0.049513,           0.0025323,             0.99649,                   1,               0.995,              0.8249,            0.019751,            0.036591,           0.0011424,            0.007426,            0.007426,            0.007426
                  15,            0.028085,            0.047084,           0.0022844,             0.99594,                   1,               0.995,             0.82831,            0.019338,            0.035149,           0.0011252,            0.007228,            0.007228,            0.007228
                  16,            0.026476,            0.046843,           0.0022223,             0.99517,                   1,               0.995,             0.82834,            0.019858,            0.034737,            0.001053,             0.00703,             0.00703,             0.00703
                  17,            0.025116,            0.044552,           0.0020918,             0.99607,                   1,               0.995,             0.82144,             0.01875,            0.034359,          0.00096722,            0.006832,            0.006832,            0.006832
                  18,            0.025257,             0.04553,           0.0020508,             0.99617,                   1,               0.995,             0.78165,            0.019352,            0.035503,          0.00087943,            0.006634,            0.006634,            0.006634
                  19,            0.024414,            0.043965,           0.0020059,             0.99677,             0.99918,               0.995,             0.81778,             0.01723,            0.032207,          0.00085816,            0.006436,            0.006436,            0.006436
                  20,            0.022999,            0.044429,           0.0018256,             0.99611,                   1,               0.995,             0.79713,             0.01957,            0.034336,          0.00073705,            0.006238,            0.006238,            0.006238
                  21,            0.023122,            0.044608,           0.0019209,             0.99585,             0.99921,               0.995,              0.8632,            0.014949,            0.031673,          0.00087938,             0.00604,             0.00604,             0.00604
                  22,            0.022519,            0.043861,           0.0017938,              0.9961,                   1,               0.995,              0.8573,            0.014592,            0.032764,          0.00080605,            0.005842,            0.005842,            0.005842
                  23,            0.022271,            0.043348,           0.0017485,             0.99687,                   1,               0.995,             0.88279,            0.012398,            0.029259,          0.00072126,            0.005644,            0.005644,            0.005644
