               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.025834,           0.0070158,                   0,             0.99322,             0.86667,             0.94989,             0.46974,            0.037547,           0.0047045,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025287,           0.0070192,                   0,             0.92149,             0.82222,             0.87282,             0.43769,            0.038981,           0.0048304,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.026222,           0.0073224,                   0,             0.96276,             0.82222,             0.91266,             0.48481,            0.036711,           0.0047834,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024267,           0.0069083,                   0,              0.9724,             0.84444,              0.9193,             0.48522,            0.037062,           0.0046484,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.025991,           0.0075645,                   0,               0.944,             0.86667,             0.91717,             0.50659,            0.035715,           0.0047052,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025371,           0.0069047,                   0,             0.97558,             0.88784,             0.95138,             0.49952,            0.035531,           0.0047834,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.024075,           0.0068278,                   0,             0.96352,             0.91111,             0.95172,             0.47253,            0.036954,           0.0048363,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024606,           0.0073773,                   0,              0.9685,             0.91111,             0.95056,             0.48118,            0.037334,           0.0046957,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02446,           0.0067996,                   0,             0.97713,             0.86667,             0.95257,             0.48831,            0.036294,           0.0046594,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023519,            0.007193,                   0,             0.93016,             0.93333,             0.95321,             0.49767,            0.036154,           0.0046589,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.024909,           0.0073418,                   0,              0.9323,             0.91813,             0.95376,             0.50082,             0.03571,           0.0046823,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.022523,            0.006993,                   0,             0.93235,             0.91891,             0.95408,             0.47859,            0.036272,           0.0046895,                   0,            0.000496,            0.000496,            0.000496
