               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088767,            0.099386,               0.032,             0.86744,             0.44583,             0.50652,             0.20019,            0.059568,            0.067299,            0.015092,            0.070526,           0.0032749,           0.0032749
                   1,            0.064917,            0.073323,            0.020646,             0.69557,                 0.4,             0.34168,              0.1435,            0.057644,            0.051514,             0.01396,            0.040395,           0.0064773,           0.0064773
                   2,            0.063284,            0.068462,             0.01961,             0.37855,             0.81475,             0.70078,             0.29806,             0.05589,            0.054756,            0.012429,            0.010133,           0.0095478,           0.0095478
                   3,            0.052506,            0.064216,            0.017768,             0.69183,             0.84834,             0.95322,             0.55657,            0.030671,               0.042,            0.010214,            0.009406,            0.009406,            0.009406
                   4,            0.042475,            0.061733,            0.015018,             0.58651,                   1,             0.91744,             0.53504,            0.037974,            0.049492,           0.0075351,            0.009406,            0.009406,            0.009406
                   5,            0.038605,            0.056271,            0.011579,              0.9639,                   1,             0.98667,             0.66343,            0.024099,            0.039848,           0.0044168,            0.009208,            0.009208,            0.009208
                   6,            0.035486,            0.053647,           0.0085278,             0.95076,                   1,             0.98898,             0.75872,            0.021527,            0.036964,           0.0031197,             0.00901,             0.00901,             0.00901
                   7,            0.032373,            0.052775,           0.0068133,              0.9974,                   1,               0.995,             0.76429,            0.021026,            0.038242,           0.0024835,            0.008812,            0.008812,            0.008812
                   8,            0.031892,            0.051671,           0.0052974,             0.99781,                   1,               0.995,             0.75174,            0.023401,            0.036766,           0.0019913,            0.008614,            0.008614,            0.008614
                   9,            0.029964,            0.051466,             0.00423,             0.99795,                   1,               0.995,             0.78647,            0.017086,            0.032925,           0.0017856,            0.008416,            0.008416,            0.008416
                  10,            0.028772,            0.049633,           0.0035682,             0.99663,                   1,               0.995,             0.78686,            0.016687,             0.03426,           0.0017148,            0.008218,            0.008218,            0.008218
                  11,            0.027674,            0.048811,           0.0030308,             0.99772,                   1,               0.995,             0.80993,            0.016154,            0.035084,           0.0017412,             0.00802,             0.00802,             0.00802
                  12,            0.026001,            0.046873,           0.0028799,             0.99811,                   1,               0.995,             0.82462,            0.016334,            0.033993,           0.0014194,            0.007822,            0.007822,            0.007822
                  13,            0.025214,            0.047403,           0.0026202,             0.99801,                   1,               0.995,             0.83817,             0.01765,               0.034,           0.0014425,            0.007624,            0.007624,            0.007624
                  14,            0.025399,             0.04736,           0.0024949,             0.99754,                   1,               0.995,             0.82573,            0.015904,            0.033291,           0.0014048,            0.007426,            0.007426,            0.007426
                  15,            0.024579,            0.046965,            0.002397,             0.99746,                   1,               0.995,             0.84646,            0.014597,            0.032711,           0.0012473,            0.007228,            0.007228,            0.007228
                  16,            0.022802,            0.045385,           0.0022567,             0.99758,                   1,               0.995,             0.82211,             0.01678,             0.03371,           0.0012559,             0.00703,             0.00703,             0.00703
                  17,            0.023146,            0.044782,           0.0020562,             0.99651,                   1,               0.995,             0.87512,            0.013898,            0.030888,            0.001347,            0.006832,            0.006832,            0.006832
                  18,            0.023086,            0.043833,           0.0021479,             0.99719,                   1,               0.995,             0.86516,            0.016181,            0.032028,           0.0009078,            0.006634,            0.006634,            0.006634
                  19,            0.021944,            0.043825,           0.0019412,             0.99706,                   1,               0.995,             0.85727,            0.013971,            0.030411,          0.00092661,            0.006436,            0.006436,            0.006436
                  20,            0.021478,            0.044109,           0.0018329,             0.99663,             0.99926,               0.995,             0.84568,            0.015095,            0.031506,            0.001028,            0.006238,            0.006238,            0.006238
