               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026408,           0.0072125,             0.01135,             0.91961,             0.58033,             0.65676,             0.45377,            0.019639,            0.004163,           0.0099772,             0.00307,             0.00307,             0.00307
                  37,            0.024245,           0.0069765,            0.011821,             0.94473,             0.58988,             0.67304,             0.44487,            0.023195,              0.0042,           0.0096761,            0.002872,            0.002872,            0.002872
                  38,            0.025189,           0.0075235,            0.013039,              0.9569,             0.57746,             0.67786,             0.49188,            0.020258,           0.0041208,            0.009446,            0.002674,            0.002674,            0.002674
                  39,            0.023659,           0.0074395,            0.010776,             0.94969,             0.59961,             0.67949,             0.48868,            0.020716,           0.0040818,             0.00924,            0.002476,            0.002476,            0.002476
                  40,            0.023325,           0.0067843,             0.01208,             0.95546,             0.60037,             0.68181,             0.48985,            0.019539,           0.0040209,           0.0090432,            0.002278,            0.002278,            0.002278
                  41,            0.022614,           0.0070523,            0.010893,             0.95981,             0.61845,             0.68809,              0.5216,             0.01939,           0.0039907,           0.0088236,             0.00208,             0.00208,             0.00208
                  42,            0.022013,           0.0064394,            0.012279,             0.98045,             0.60237,             0.68719,             0.53579,            0.017704,           0.0039412,           0.0085408,            0.001882,            0.001882,            0.001882
                  43,             0.02081,           0.0066512,           0.0087421,              0.9731,             0.62586,              0.6873,             0.53207,            0.016875,           0.0038971,           0.0083247,            0.001684,            0.001684,            0.001684
                  44,            0.021074,           0.0062913,           0.0092247,             0.97106,             0.63077,             0.68748,             0.51305,            0.018311,           0.0039009,           0.0081716,            0.001486,            0.001486,            0.001486
                  45,            0.020026,           0.0068592,           0.0098771,             0.98234,             0.61918,              0.6871,             0.53777,            0.017558,           0.0038682,           0.0079585,            0.001288,            0.001288,            0.001288
                  46,             0.01981,           0.0060459,            0.010921,             0.98317,             0.62012,             0.68754,             0.55719,            0.016164,           0.0037954,           0.0077745,             0.00109,             0.00109,             0.00109
                  47,            0.019425,           0.0069513,           0.0090172,             0.97796,             0.63115,             0.69407,             0.55398,            0.016393,           0.0038164,           0.0076198,            0.000892,            0.000892,            0.000892
                  48,             0.01933,           0.0063779,             0.01002,             0.97786,             0.63607,             0.69311,             0.54588,            0.015889,           0.0037988,           0.0075096,            0.000694,            0.000694,            0.000694
                  49,            0.018892,           0.0065187,            0.010003,              0.9765,             0.63754,             0.69391,             0.55204,             0.01609,           0.0037849,           0.0074229,            0.000496,            0.000496,            0.000496
