               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.017975,            0.037242,           0.0013702,             0.99694,                   1,               0.995,             0.86138,              0.0134,            0.029919,          0.00054474,            0.002872,            0.002872,            0.002872
                  38,             0.01781,              0.0367,           0.0011838,             0.99677,                   1,               0.995,             0.85444,            0.012472,            0.029072,          0.00052447,            0.002674,            0.002674,            0.002674
                  39,            0.017776,            0.038378,           0.0012025,             0.99692,                   1,               0.995,             0.86767,            0.011552,            0.028271,          0.00048735,            0.002476,            0.002476,            0.002476
                  40,            0.017316,            0.036204,           0.0012007,             0.99709,                   1,               0.995,             0.86703,            0.011507,            0.027752,          0.00046649,            0.002278,            0.002278,            0.002278
                  41,            0.017859,            0.036632,            0.001923,             0.99693,                   1,               0.995,             0.87593,            0.011269,            0.027584,          0.00043783,             0.00208,             0.00208,             0.00208
                  42,            0.016405,            0.035416,           0.0010567,              0.9972,                   1,               0.995,             0.86814,            0.012293,            0.028702,          0.00039845,            0.001882,            0.001882,            0.001882
                  43,            0.016458,            0.035614,           0.0011359,             0.99752,                   1,               0.995,             0.86263,            0.011442,            0.027927,          0.00036707,            0.001684,            0.001684,            0.001684
                  44,            0.016794,            0.035447,           0.0012817,             0.99745,                   1,               0.995,             0.87258,            0.011735,            0.028862,          0.00035679,            0.001486,            0.001486,            0.001486
                  45,            0.015759,            0.035703,           0.0011565,             0.99754,                   1,               0.995,             0.86093,            0.011123,             0.02784,          0.00033827,            0.001288,            0.001288,            0.001288
                  46,            0.015544,             0.03425,           0.0010625,             0.99739,                   1,               0.995,             0.87059,            0.011166,            0.027756,           0.0003211,             0.00109,             0.00109,             0.00109
                  47,            0.015652,            0.034798,          0.00097754,             0.99756,                   1,               0.995,             0.87481,            0.011043,            0.027988,          0.00030205,            0.000892,            0.000892,            0.000892
                  48,            0.015102,            0.034495,           0.0008306,             0.99756,                   1,               0.995,             0.87417,            0.011051,             0.02755,          0.00028441,            0.000694,            0.000694,            0.000694
                  49,            0.015373,            0.033132,          0.00088434,              0.9975,                   1,               0.995,              0.8747,            0.011024,            0.027576,          0.00027525,            0.000496,            0.000496,            0.000496
