               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11597,             0.02404,             0.05142,          0.00060506,             0.13541,            0.001327,          0.00026961,            0.095023,            0.016161,            0.045706,              0.0793,              0.0023,              0.0023
                   1,            0.089835,            0.021068,            0.042588,             0.17854,            0.087684,            0.032798,            0.010019,             0.07518,            0.013509,            0.039792,            0.057607,           0.0046069,           0.0046069
                   2,            0.076586,            0.018661,            0.039237,             0.62665,            0.097892,              0.1037,            0.034019,            0.074652,            0.010662,            0.037586,            0.035819,           0.0068188,           0.0068188
                   3,            0.072391,            0.018453,            0.036604,             0.61091,             0.10011,            0.079328,            0.022495,            0.065793,            0.010649,            0.035978,            0.013936,           0.0089357,           0.0089357
                   4,            0.065718,            0.018478,             0.03722,             0.58879,            0.091647,            0.080757,            0.023438,             0.06285,             0.01091,            0.033057,            0.009208,            0.009208,            0.009208
                   5,            0.060346,            0.017222,            0.034975,             0.31996,             0.19825,             0.12442,            0.038875,            0.063945,           0.0099864,            0.030113,            0.009208,            0.009208,            0.009208
                   6,            0.054686,            0.016677,             0.03117,             0.71703,             0.15407,              0.1914,            0.065667,            0.053275,           0.0098512,            0.027017,             0.00901,             0.00901,             0.00901
                   7,            0.049828,            0.014239,            0.027782,              0.8545,             0.25301,             0.32128,             0.13648,            0.050102,           0.0086892,            0.024538,            0.008812,            0.008812,            0.008812
                   8,            0.047961,            0.012967,            0.027349,             0.67813,             0.27302,             0.25326,            0.076975,            0.051265,           0.0078456,            0.023593,            0.008614,            0.008614,            0.008614
                   9,            0.046132,            0.013046,            0.025119,             0.81197,             0.33846,             0.39008,             0.16889,            0.047697,           0.0072851,            0.021101,            0.008416,            0.008416,            0.008416
                  10,            0.043807,            0.012013,            0.023668,             0.87955,             0.37021,              0.4336,             0.23717,            0.035739,           0.0069365,            0.020193,            0.008218,            0.008218,            0.008218
                  11,            0.043349,             0.01087,            0.022291,             0.86817,               0.358,             0.40356,             0.19594,            0.035691,           0.0066384,            0.019073,             0.00802,             0.00802,             0.00802
                  12,            0.039718,            0.010751,            0.021776,             0.93933,             0.41339,              0.4783,             0.24208,            0.033927,           0.0063283,            0.017824,            0.007822,            0.007822,            0.007822
                  13,            0.038558,           0.0095066,            0.020789,             0.85469,             0.42566,             0.45954,               0.241,            0.034841,           0.0059738,            0.016587,            0.007624,            0.007624,            0.007624
                  14,            0.036911,           0.0096239,            0.020394,             0.95791,             0.44579,             0.51941,             0.32026,            0.032606,           0.0057193,            0.015515,            0.007426,            0.007426,            0.007426
                  15,            0.037067,            0.008619,            0.017738,             0.96437,             0.45379,             0.51619,             0.30792,            0.030929,           0.0054505,            0.013967,            0.007228,            0.007228,            0.007228
                  16,            0.036042,           0.0084678,            0.016843,             0.95426,             0.46834,             0.53098,             0.28084,            0.033621,            0.005373,            0.013238,             0.00703,             0.00703,             0.00703
                  17,            0.036475,           0.0081694,            0.014807,             0.98076,             0.45921,             0.54212,             0.31911,            0.029139,           0.0051429,            0.012719,            0.006832,            0.006832,            0.006832
                  18,            0.033746,           0.0080288,            0.016177,             0.98139,             0.46843,             0.55701,             0.34405,            0.028668,           0.0049901,            0.012074,            0.006634,            0.006634,            0.006634
                  19,             0.03394,           0.0079708,            0.014504,             0.98806,             0.46768,             0.57456,             0.37978,            0.026879,           0.0049384,            0.011804,            0.006436,            0.006436,            0.006436
                  20,            0.032225,           0.0080433,            0.013035,             0.97202,             0.47222,             0.58318,             0.36099,            0.026002,           0.0049294,            0.011345,            0.006238,            0.006238,            0.006238
                  21,            0.031516,           0.0078351,            0.013939,             0.76261,              0.5578,             0.60659,             0.38188,            0.030012,           0.0047669,            0.010888,             0.00604,             0.00604,             0.00604
                  22,            0.032383,           0.0078481,            0.013951,             0.77947,             0.57582,             0.61909,             0.39561,            0.025592,           0.0047178,            0.011123,            0.005842,            0.005842,            0.005842
                  23,            0.030258,           0.0076397,            0.014312,             0.82952,             0.58249,             0.64872,             0.46607,            0.023562,            0.004595,            0.010307,            0.005644,            0.005644,            0.005644
                  24,            0.029545,           0.0071627,            0.012171,             0.95929,             0.55439,             0.65176,             0.39207,            0.025912,           0.0046452,           0.0098299,            0.005446,            0.005446,            0.005446
                  25,            0.028987,           0.0071591,            0.011634,             0.80546,             0.59296,             0.66414,             0.44609,            0.024721,           0.0045232,           0.0095723,            0.005248,            0.005248,            0.005248
                  26,             0.02809,           0.0072223,            0.012041,             0.81354,             0.61902,             0.70134,             0.44697,            0.026761,           0.0044371,           0.0097668,             0.00505,             0.00505,             0.00505
                  27,            0.027466,           0.0067847,            0.010557,              0.7641,             0.63167,             0.71934,             0.48182,            0.025894,            0.004432,            0.010954,            0.004852,            0.004852,            0.004852
